Regione,Popolazione,Area,Density,N_comuni,N_prov
Lombardia,10008349,23849.19,420,1527,12
Lazio,5888472,17232.29,342,378,5
Campania,5850850,13670.95,428,550,5
Sicilia,5074261,25832.39,196,390,9
Veneto,4915123,18407.42,267,576,7
Emilia-Romagna,4448146,22452.78,198,334,9
Piemonte,4404246,25387.07,173,1202,8
Puglia,4077166,19540.9,209,258,6
Toscana,3744398,22987.04,163,279,10
Calabria,1970521,15221.9,129,409,5
Sardegna,1658138,24100.02,69,377,8
Liguria,1571053,5416.21,290,235,4
Marche,1543752,9401.38,164,236,5
Abruzzo,1326513,10831.84,122,305,4
Friuli-Venezia Giulia,1221218,7862.3,155,216,4
Trentino-Alto Adige,1059114,13605.5,78,294,2
Umbria,891181,8464.33,105,92,2
Basilicata,573694,10073.32,57,131,2
Molise,312027,4460.65,70,136,2
Valle d'Aosta,127329,3260.9,39,74,1

